I_img.jpg,X,Y,Z,roll,pitch,yaw
I_179000115_0019_01_0012_P00_01.jpg.jpg,126636.6096,488950.125,357.2023,-0.5473,42.06,-89.5879
I_179000116_0019_01_0013_P00_01.jpg.jpg,126634.0193,488799.1363,354.4266,-0.7304,41.9669,-89.303
I_179000117_0019_01_0014_P00_01.jpg.jpg,126632.5256,488648.0591,353.3835,-0.4839,42.0538,-89.6028
I_179000118_0019_01_0015_P00_01.jpg.jpg,126631.223,488497.063,357.7104,-0.5904,42.0583,-89.5278
I_179000119_0019_01_0016_P00_01.jpg.jpg,126632.5169,488346.013,360.1552,-0.5923,41.9849,-89.5012
I_179000120_0019_01_0017_P00_01.jpg.jpg,126635.4833,488194.989,363.0968,-0.6548,41.9972,-89.4012
I_179000121_0019_01_0018_P00_01.jpg.jpg,126635.551,488043.9608,364.0205,-0.6412,42.04,-89.4572
I_179000122_0019_01_0019_P00_01.jpg.jpg,126634.7939,487892.9828,364.9472,-0.6071,41.9443,-89.4371
I_179000123_0019_01_0020_P00_01.jpg.jpg,126636.9137,487741.9215,366.3216,-0.5761,42.0516,-89.5542
I_179000124_0019_01_0021_P00_01.jpg.jpg,126639.1102,487590.8426,369.073,-0.5838,41.9743,-89.4679
I_179000125_0019_01_0022_P00_01.jpg.jpg,126640.2893,487439.8185,370.6586,-0.509,42.0037,-89.5834
I_179000126_0019_01_0023_P00_01.jpg.jpg,126641.2487,487288.8203,371.0228,-0.524,42.0416,-89.5319
I_179000127_0019_01_0024_P00_01.jpg.jpg,126639.033,487137.7629,371.0211,-0.689,42.0274,-89.3437
I_179000128_0019_01_0025_P00_01.jpg.jpg,126638.1581,486986.7984,369.1771,-0.5365,42.0781,-89.5388
I_179000129_0019_01_0026_P00_01.jpg.jpg,126637.8519,486835.7828,366.9245,-0.6401,42.0444,-89.4465
I_179000130_0019_01_0027_P00_01.jpg.jpg,126639.17,486684.8241,363.8107,-0.4552,41.9867,-89.6919
I_179000131_0019_01_0028_P00_01.jpg.jpg,126640.2302,486533.7752,361.8763,-0.6342,42.0163,-89.4539
I_179000132_0019_01_0029_P00_01.jpg.jpg,126641.3113,486382.7238,361.6524,-0.5957,42.0014,-89.4344
I_179000134_0018_01_0030_P00_01.jpg.jpg,126429.5983,486436.1116,380.1511,1.6189,-42.0582,92.1553
I_179000135_0018_01_0029_P00_01.jpg.jpg,126427.5544,486587.0735,385.751,1.265,-42.0863,91.417
I_179000136_0018_01_0028_P00_01.jpg.jpg,126428.2549,486738.0238,390.06,0.6849,-42.0576,90.7763
I_179000137_0018_01_0027_P00_01.jpg.jpg,126429.6285,486889.0284,387.1256,0.344,-42.0588,90.1484
I_179000138_0018_01_0026_P00_01.jpg.jpg,126428.9308,487040.0215,382.4388,0.1039,-41.8505,89.8352
I_179000139_0018_01_0025_P00_01.jpg.jpg,126426.8076,487191.0494,378.2552,0.2433,-41.974,89.8838
I_179000140_0018_01_0024_P00_01.jpg.jpg,126424.3701,487342.0708,375.6374,0.2818,-42.048,90.0438
